sampling rate [Sa/s]: 500000000 
record length [Sa]: 50000000 
record duration [s]: 1.00000000e-001 
range [V]: 0.400000 
resolution [b]: 12 
amplitude resolution [V]:1.95312503e-004 
block acquisition count: 200.000000 
FID per block count: 5000 
number of averages: 1000000 
DAQ elapsed time [s]: 538.580994 
Time,Ch1
0.000000e+000,-9.34905029e-004 
2.000000e-009,-9.59362854e-004 
4.000000e-009,-7.69794312e-004 
6.000000e-009,-9.90335876e-004 
8.000000e-009,-8.99001648e-004 
1.000000e-008,-8.47903503e-004 
1.200000e-008,-9.64448303e-004 
1.400000e-008,-8.08857605e-004 
1.600000e-008,-9.15395081e-004 
1.800000e-008,-1.02489746e-003 
2.000000e-008,-8.69152832e-004 
2.200000e-008,-1.02981714e-003 
2.400000e-008,-8.92091309e-004 
2.600000e-008,-8.68737915e-004 
2.800000e-008,-9.31164551e-004 
3.000000e-008,-8.43731995e-004 
3.200000e-008,-9.74010132e-004 
3.400000e-008,-8.66458557e-004 
3.600000e-008,-8.26706482e-004 
3.800000e-008,-8.48552979e-004 
4.000000e-008,-9.61462036e-004 
4.200000e-008,-8.24896484e-004 
4.400000e-008,-9.56586548e-004 
4.600000e-008,-8.51025391e-004 
4.800000e-008,-9.42444946e-004 
5.000000e-008,-9.81665100e-004 
5.200000e-008,-9.63730652e-004 
5.400000e-008,-8.74985718e-004 
5.600000e-008,-9.62597534e-004 
5.800000e-008,-7.31825989e-004 
6.000000e-008,-1.04438208e-003 
6.200000e-008,-7.81578552e-004 
6.400000e-008,-9.43079773e-004 
6.600000e-008,-8.55998169e-004 
6.800000e-008,-8.46333069e-004 
7.000000e-008,-8.72987000e-004 
7.200000e-008,-1.02969666e-003 
7.400000e-008,-6.89938354e-004 
7.600000e-008,-1.02161591e-003 
7.800000e-008,-7.48990295e-004 
8.000000e-008,-9.88274536e-004 
8.200000e-008,-1.00249890e-003 
8.400000e-008,-9.01779846e-004 
8.600000e-008,-9.77969788e-004 
8.800000e-008,-9.06410645e-004 
9.000000e-008,-8.10801208e-004 
9.200000e-008,-1.04506641e-003 
9.400000e-008,-7.23506531e-004 
9.600000e-008,-9.46316772e-004 
9.800000e-008,-8.32269409e-004 
1.000000e-007,-8.20779480e-004 
1.020000e-007,-9.19621521e-004 
1.040000e-007,-8.72358398e-004 
1.060000e-007,-8.40631348e-004 
1.080000e-007,-8.87354980e-004 
1.100000e-007,-8.88476685e-004 
1.120000e-007,-9.52477966e-004 
1.140000e-007,-1.03176721e-003 
1.160000e-007,-8.73159302e-004 
1.180000e-007,-9.37263916e-004 
1.200000e-007,-9.08019958e-004 
1.220000e-007,-8.68654297e-004 
1.240000e-007,-9.11674500e-004 
1.260000e-007,-8.45785889e-004 
1.280000e-007,-8.88456787e-004 
1.300000e-007,-9.31351196e-004 
1.320000e-007,-8.47456055e-004 
1.340000e-007,-8.43144470e-004 
1.360000e-007,-9.36356995e-004 
1.380000e-007,-7.43597778e-004 
1.400000e-007,-9.87466248e-004 
1.420000e-007,-8.52507751e-004 
1.440000e-007,-9.11872192e-004 
1.460000e-007,-1.00689392e-003 
1.480000e-007,-8.94035828e-004 
1.500000e-007,-9.28955872e-004 
1.520000e-007,-1.01899115e-003 
1.540000e-007,-7.01835937e-004 
1.560000e-007,-9.82221497e-004 
1.580000e-007,-7.66000427e-004 
1.600000e-007,-9.63317383e-004 
1.620000e-007,-8.77960510e-004 
1.640000e-007,-8.37071899e-004 
1.660000e-007,-8.39128235e-004 
1.680000e-007,-9.68742554e-004 
1.700000e-007,-7.61135498e-004 
1.720000e-007,-1.05711548e-003 
1.740000e-007,-7.27038513e-004 
1.760000e-007,-1.00721588e-003 
1.780000e-007,-9.20063416e-004 
1.800000e-007,-9.21133972e-004 
1.820000e-007,-9.38835266e-004 
1.840000e-007,-9.34029358e-004 
1.860000e-007,-7.74130310e-004 
1.880000e-007,-9.52233887e-004 
1.900000e-007,-7.99414612e-004 
1.920000e-007,-9.90330078e-004 
1.940000e-007,-8.16073669e-004 
1.960000e-007,-8.04578308e-004 
1.980000e-007,-8.25430420e-004 
2.000000e-007,-9.14991333e-004 
2.020000e-007,-8.19938049e-004 
2.040000e-007,-8.66808655e-004 
2.060000e-007,-9.35154358e-004 
2.080000e-007,-8.55953186e-004 
2.100000e-007,-1.05272217e-003 
2.120000e-007,-8.97857178e-004 
2.140000e-007,-9.50376892e-004 
2.160000e-007,-9.29136475e-004 
2.180000e-007,-7.67497498e-004 
2.200000e-007,-9.48636230e-004 
2.220000e-007,-8.30680237e-004 
2.240000e-007,-8.51762024e-004 
2.260000e-007,-9.11740112e-004 
2.280000e-007,-7.66054199e-004 
2.300000e-007,-9.15984680e-004 
2.320000e-007,-9.80507141e-004 
2.340000e-007,-7.41433411e-004 
2.360000e-007,-9.49908630e-004 
2.380000e-007,-7.79927429e-004 
2.400000e-007,-9.53019226e-004 
2.420000e-007,-1.04833142e-003 
2.440000e-007,-8.50781372e-004 
2.460000e-007,-9.45684265e-004 
2.480000e-007,-9.27924927e-004 
2.500000e-007,-7.59345215e-004 
2.520000e-007,-1.04713684e-003 
2.540000e-007,-6.70261780e-004 
2.560000e-007,-9.11458374e-004 
2.580000e-007,-8.09138794e-004 
2.600000e-007,-8.52342896e-004 
2.620000e-007,-8.54256165e-004 
2.640000e-007,-9.53820862e-004 
2.660000e-007,-7.46399475e-004 
2.680000e-007,-9.56858765e-004 
2.700000e-007,-8.00075378e-004 
2.720000e-007,-1.02750195e-003 
2.740000e-007,-9.36357422e-004 
2.760000e-007,-9.04152222e-004 
2.780000e-007,-8.64951843e-004 
2.800000e-007,-9.50801636e-004 
2.820000e-007,-7.78531311e-004 
2.840000e-007,-9.69354309e-004 
2.860000e-007,-7.80693726e-004 
2.880000e-007,-8.94800476e-004 
2.900000e-007,-8.93979492e-004 
2.920000e-007,-8.58186584e-004 
2.940000e-007,-8.18096985e-004 
2.960000e-007,-9.39850098e-004 
2.980000e-007,-7.26396851e-004 
3.000000e-007,-9.46097778e-004 
3.020000e-007,-8.47789551e-004 
