sampling rate [Sa/s]: 500000000 
record length [Sa]: 50000000 
record duration [s]: 1.00000000e-001 
range [V]: 0.400000 
resolution [b]: 12 
amplitude resolution [V]:1.95312503e-004 
block acquisition count: 200.000000 
FID per block count: 5000 
number of averages: 1000000 
DAQ elapsed time [s]: 538.969971 
Time,Ch1
0.000000e+000,-1.06720764e-003 
2.000000e-009,-9.40069580e-004 
4.000000e-009,-1.02854443e-003 
6.000000e-009,-9.23917114e-004 
8.000000e-009,-1.01226288e-003 
1.000000e-008,-7.39426453e-004 
1.200000e-008,-1.03420959e-003 
1.400000e-008,-8.91908630e-004 
1.600000e-008,-1.09836096e-003 
1.800000e-008,-9.74740906e-004 
2.000000e-008,-1.00436554e-003 
2.200000e-008,-9.60430359e-004 
2.400000e-008,-1.05386255e-003 
2.600000e-008,-8.61346436e-004 
2.800000e-008,-9.67000305e-004 
3.000000e-008,-8.92967285e-004 
3.200000e-008,-9.36281677e-004 
3.400000e-008,-9.93656128e-004 
3.600000e-008,-1.02262146e-003 
3.800000e-008,-8.96408936e-004 
4.000000e-008,-1.02938501e-003 
4.200000e-008,-8.30838501e-004 
4.400000e-008,-1.04627258e-003 
4.600000e-008,-1.01317456e-003 
4.800000e-008,-9.56856323e-004 
5.000000e-008,-1.01692865e-003 
5.200000e-008,-9.04278198e-004 
5.400000e-008,-1.05659082e-003 
5.600000e-008,-1.00064111e-003 
5.800000e-008,-8.28830322e-004 
6.000000e-008,-9.95402832e-004 
6.200000e-008,-9.23795044e-004 
6.400000e-008,-9.61432251e-004 
6.600000e-008,-1.07650977e-003 
6.800000e-008,-9.34060913e-004 
7.000000e-008,-1.00542603e-003 
7.200000e-008,-9.26309692e-004 
7.400000e-008,-8.19591614e-004 
7.600000e-008,-1.02402234e-003 
7.800000e-008,-9.29044922e-004 
8.000000e-008,-1.02740784e-003 
8.200000e-008,-9.90630188e-004 
8.400000e-008,-9.53563538e-004 
8.600000e-008,-1.04574402e-003 
8.800000e-008,-9.55808838e-004 
9.000000e-008,-7.86695129e-004 
9.200000e-008,-9.95224060e-004 
9.400000e-008,-8.88113770e-004 
9.600000e-008,-1.02884180e-003 
9.800000e-008,-9.13830627e-004 
1.000000e-007,-1.07372437e-003 
1.020000e-007,-8.54210266e-004 
1.040000e-007,-1.05901135e-003 
1.060000e-007,-8.04278931e-004 
1.080000e-007,-1.00731537e-003 
1.100000e-007,-8.85872192e-004 
1.120000e-007,-1.00390112e-003 
1.140000e-007,-9.64251099e-004 
1.160000e-007,-1.00611871e-003 
1.180000e-007,-9.45073853e-004 
1.200000e-007,-1.04552441e-003 
1.220000e-007,-7.12050476e-004 
1.240000e-007,-1.06115918e-003 
1.260000e-007,-9.31650330e-004 
1.280000e-007,-9.52629883e-004 
1.300000e-007,-9.64883545e-004 
1.320000e-007,-9.46595093e-004 
1.340000e-007,-9.29116272e-004 
1.360000e-007,-1.02965967e-003 
1.380000e-007,-7.52840088e-004 
1.400000e-007,-1.04742944e-003 
1.420000e-007,-9.14463074e-004 
1.440000e-007,-9.96907593e-004 
1.460000e-007,-1.10318530e-003 
1.480000e-007,-8.76886292e-004 
1.500000e-007,-1.00516675e-003 
1.520000e-007,-9.34254272e-004 
1.540000e-007,-8.51312195e-004 
1.560000e-007,-1.01443579e-003 
1.580000e-007,-8.95965210e-004 
1.600000e-007,-9.57816345e-004 
1.620000e-007,-1.00752155e-003 
1.640000e-007,-9.75535767e-004 
1.660000e-007,-1.01850281e-003 
1.680000e-007,-9.17766724e-004 
1.700000e-007,-8.48884155e-004 
1.720000e-007,-9.64008362e-004 
1.740000e-007,-9.47800110e-004 
1.760000e-007,-9.98622498e-004 
1.780000e-007,-9.76044373e-004 
1.800000e-007,-9.47005432e-004 
1.820000e-007,-9.84557434e-004 
1.840000e-007,-9.87425049e-004 
