sampling rate [Sa/s]: 500000000 
record length [Sa]: 50000000 
record duration [s]: 1.00000000e-001 
range [V]: 0.800000 
resolution [b]: 12 
amplitude resolution [V]:3.90625006e-004 
block acquisition count: 20.000000 
FID per block count: 5000 
number of averages: 100000 
DAQ elapsed time [s]: 52.847000 
Time,Ch1
0.000000e+000,-1.50107727e-002 
2.000000e-009,-1.50403943e-002 
4.000000e-009,-1.50236633e-002 
6.000000e-009,-1.53822388e-002 
8.000000e-009,-1.49245410e-002 
1.000000e-008,-1.58028125e-002 
1.200000e-008,-1.46795837e-002 
1.400000e-008,-1.53625427e-002 
1.600000e-008,-1.51536047e-002 
1.800000e-008,-1.49636279e-002 
2.000000e-008,-1.55709729e-002 
2.200000e-008,-1.47538062e-002 
2.400000e-008,-1.54392273e-002 
2.600000e-008,-1.50847314e-002 
2.800000e-008,-1.52468030e-002 
3.000000e-008,-1.49093311e-002 
3.200000e-008,-1.52238464e-002 
3.400000e-008,-1.50516602e-002 
3.600000e-008,-1.52306836e-002 
3.800000e-008,-1.54378906e-002 
4.000000e-008,-1.51180261e-002 
4.200000e-008,-1.56366394e-002 
4.400000e-008,-1.48947156e-002 
4.600000e-008,-1.57881458e-002 
4.800000e-008,-1.52443665e-002 
5.000000e-008,-1.52014661e-002 
5.200000e-008,-1.51582385e-002 
5.400000e-008,-1.50801733e-002 
5.600000e-008,-1.52242371e-002 
5.800000e-008,-1.52592163e-002 
6.000000e-008,-1.55445422e-002 
6.200000e-008,-1.45628418e-002 
6.400000e-008,-1.59201270e-002 
6.600000e-008,-1.44310706e-002 
6.800000e-008,-1.60009729e-002 
7.000000e-008,-1.49376563e-002 
7.200000e-008,-1.55749597e-002 
7.400000e-008,-1.53870789e-002 
7.600000e-008,-1.49241833e-002 
7.800000e-008,-1.45647546e-002 
8.000000e-008,-1.43386414e-002 
8.200000e-008,-1.43306982e-002 
8.400000e-008,-1.48452454e-002 
8.600000e-008,-4.69007715e-002 
8.800000e-008,-3.23985566e-001 
9.000000e-008,-6.33268281e-001 
9.200000e-008,-5.32472109e-001 
9.400000e-008,-6.06110195e-001 
9.600000e-008,-5.59161992e-001 
9.800000e-008,-5.80611875e-001 
1.000000e-007,-5.88065156e-001 
1.020000e-007,-5.81076875e-001 
1.040000e-007,-5.82124766e-001 
1.060000e-007,-5.97416953e-001 
1.080000e-007,-6.25166914e-001 
1.100000e-007,-6.05113242e-001 
1.120000e-007,-5.87162148e-001 
1.140000e-007,-5.99747344e-001 
1.160000e-007,-5.80953203e-001 
1.180000e-007,-5.77769727e-001 
1.200000e-007,-5.90808398e-001 
1.220000e-007,-5.78436914e-001 
1.240000e-007,-5.86609375e-001 
1.260000e-007,-5.85635234e-001 
1.280000e-007,-5.83754922e-001 
1.300000e-007,-5.80708008e-001 
1.320000e-007,-5.81575039e-001 
1.340000e-007,-5.81929961e-001 
1.360000e-007,-5.81795938e-001 
1.380000e-007,-5.89370508e-001 
1.400000e-007,-5.85919648e-001 
1.420000e-007,-5.80007812e-001 
1.440000e-007,-5.87370273e-001 
1.460000e-007,-5.81720078e-001 
1.480000e-007,-5.85415703e-001 
1.500000e-007,-5.83427891e-001 
1.520000e-007,-5.79327070e-001 
1.540000e-007,-5.81323750e-001 
1.560000e-007,-5.75906758e-001 
1.580000e-007,-5.77602578e-001 
1.600000e-007,-5.77075508e-001 
1.620000e-007,-5.78205820e-001 
1.640000e-007,-5.76176328e-001 
1.660000e-007,-5.64717578e-001 
1.680000e-007,-5.69064570e-001 
