sampling rate [Sa/s]: 500000000 
record length [Sa]: 50000000 
record duration [s]: 1.00000000e-001 
range [V]: 0.200000 
resolution [b]: 12 
amplitude resolution [V]:9.76562515e-005 
block acquisition count: 200.000000 
FID per block count: 5000 
number of averages: 1000000 
DAQ elapsed time [s]: 524.536011 
Time,Ch1
0.000000e+000,-8.38641235e-004 
2.000000e-009,-8.60105957e-004 
4.000000e-009,-8.94194092e-004 
6.000000e-009,-8.31907837e-004 
8.000000e-009,-8.72513794e-004 
1.000000e-008,-7.43032104e-004 
1.200000e-008,-8.83038208e-004 
1.400000e-008,-8.80461609e-004 
1.600000e-008,-8.58354004e-004 
1.800000e-008,-8.03544800e-004 
2.000000e-008,-8.06713684e-004 
2.200000e-008,-8.35261353e-004 
2.400000e-008,-8.34705078e-004 
2.600000e-008,-7.42914124e-004 
2.800000e-008,-9.29184875e-004 
3.000000e-008,-7.51780945e-004 
3.200000e-008,-8.92344543e-004 
3.400000e-008,-9.22822144e-004 
3.600000e-008,-8.46145386e-004 
3.800000e-008,-8.82576782e-004 
4.000000e-008,-7.97662231e-004 
4.200000e-008,-8.02020569e-004 
4.400000e-008,-8.78994873e-004 
4.600000e-008,-8.21025696e-004 
4.800000e-008,-8.82343628e-004 
5.000000e-008,-7.70422058e-004 
5.200000e-008,-8.42760132e-004 
5.400000e-008,-8.69720947e-004 
5.600000e-008,-7.61047668e-004 
5.800000e-008,-7.62751831e-004 
6.000000e-008,-8.55306763e-004 
6.200000e-008,-7.87474609e-004 
6.400000e-008,-8.65291687e-004 
6.600000e-008,-8.67288757e-004 
6.800000e-008,-8.80723022e-004 
7.000000e-008,-8.70747498e-004 
7.200000e-008,-8.38943237e-004 
7.400000e-008,-8.22867554e-004 
7.600000e-008,-8.29895935e-004 
7.800000e-008,-8.50006104e-004 
8.000000e-008,-8.27131470e-004 
8.200000e-008,-7.78640198e-004 
8.400000e-008,-8.79658875e-004 
8.600000e-008,-8.00661926e-004 
8.800000e-008,-7.96300781e-004 
9.000000e-008,-7.35772278e-004 
9.200000e-008,-8.95983887e-004 
9.400000e-008,-8.02858521e-004 
9.600000e-008,-8.10295776e-004 
9.800000e-008,-8.76075500e-004 
1.000000e-007,-8.24307190e-004 
1.020000e-007,-8.74038452e-004 
1.040000e-007,-8.61006775e-004 
1.060000e-007,-7.33752686e-004 
1.080000e-007,-8.77444824e-004 
1.100000e-007,-8.01705139e-004 
1.120000e-007,-8.92882935e-004 
1.140000e-007,-7.89553101e-004 
1.160000e-007,-8.23011169e-004 
1.180000e-007,-7.98974243e-004 
1.200000e-007,-7.48450806e-004 
1.220000e-007,-7.55371399e-004 
1.240000e-007,-9.41321533e-004 
1.260000e-007,-7.49919800e-004 
1.280000e-007,-8.70350403e-004 
1.300000e-007,-8.42618958e-004 
1.320000e-007,-8.46477661e-004 
1.340000e-007,-9.36039551e-004 
1.360000e-007,-8.06804504e-004 
1.380000e-007,-8.02846191e-004 
1.400000e-007,-8.25128906e-004 
1.420000e-007,-8.14403137e-004 
1.440000e-007,-8.91503540e-004 
1.460000e-007,-7.43646057e-004 
1.480000e-007,-8.22789795e-004 
1.500000e-007,-7.89299377e-004 
1.520000e-007,-7.91723450e-004 
1.540000e-007,-7.96940918e-004 
1.560000e-007,-8.66252197e-004 
1.580000e-007,-7.77895203e-004 
1.600000e-007,-8.08346985e-004 
1.620000e-007,-8.67528687e-004 
1.640000e-007,-8.55070007e-004 
1.660000e-007,-8.46466003e-004 
1.680000e-007,-8.52739929e-004 
1.700000e-007,-7.49296448e-004 
1.720000e-007,-8.74358093e-004 
1.740000e-007,-8.63507751e-004 
1.760000e-007,-8.39755432e-004 
1.780000e-007,-7.92410950e-004 
1.800000e-007,-7.64634155e-004 
1.820000e-007,-8.12809509e-004 
1.840000e-007,-8.16394897e-004 
