sampling rate [Sa/s]: 500000000 
record length [Sa]: 50000000 
record duration [s]: 1.00000000e-001 
range [V]: 0.200000 
resolution [b]: 12 
amplitude resolution [V]:9.76562515e-005 
block acquisition count: 200.000000 
FID per block count: 5000 
number of averages: 1000000 
DAQ elapsed time [s]: 537.828979 
Time,Ch1
0.000000e+000,4.44538040e-005 
2.000000e-009,1.65443916e-005 
4.000000e-009,7.31405563e-005 
6.000000e-009,5.90500755e-005 
8.000000e-009,3.19921875e-005 
1.000000e-008,1.99660522e-004 
1.200000e-008,1.30202942e-005 
1.400000e-008,7.21563034e-005 
1.600000e-008,5.93733902e-005 
1.800000e-008,2.86507530e-005 
2.000000e-008,1.11692825e-004 
2.200000e-008,7.65692978e-005 
2.400000e-008,3.63941689e-005 
2.600000e-008,1.57579758e-004 
2.800000e-008,3.82094841e-005 
3.000000e-008,1.02216072e-004 
3.200000e-008,3.47300644e-005 
3.400000e-008,2.05212059e-005 
3.600000e-008,9.58821793e-005 
3.800000e-008,3.91974907e-005 
4.000000e-008,3.80411720e-005 
4.200000e-008,1.85015701e-004 
4.400000e-008,1.96708832e-005 
4.600000e-008,8.27194214e-005 
4.800000e-008,4.04275627e-005 
5.000000e-008,3.81358070e-005 
5.200000e-008,1.06469574e-004 
5.400000e-008,6.87498322e-005 
5.600000e-008,6.80098495e-005 
5.800000e-008,1.30971634e-004 
6.000000e-008,4.72003517e-005 
6.200000e-008,8.56647720e-005 
6.400000e-008,4.57610664e-005 
6.600000e-008,3.32852097e-005 
6.800000e-008,1.07065506e-004 
7.000000e-008,3.55648270e-005 
7.200000e-008,2.41213837e-005 
7.400000e-008,1.87677078e-004 
7.600000e-008,4.49528084e-005 
7.800000e-008,7.09695435e-005 
8.000000e-008,4.75383568e-005 
8.200000e-008,2.98706436e-005 
8.400000e-008,1.12054169e-004 
8.600000e-008,9.43907242e-005 
8.800000e-008,4.73476372e-005 
9.000000e-008,1.39068512e-004 
9.200000e-008,3.01075859e-005 
9.400000e-008,9.20999908e-005 
9.600000e-008,5.50386238e-005 
9.800000e-008,1.90345592e-005 
1.000000e-007,8.34433975e-005 
1.020000e-007,3.40497284e-005 
1.040000e-007,2.53698101e-005 
1.060000e-007,2.12100464e-004 
1.080000e-007,2.03180199e-005 
1.100000e-007,7.85957642e-005 
1.120000e-007,2.87326775e-005 
1.140000e-007,3.75522690e-005 
1.160000e-007,1.29494278e-004 
1.180000e-007,6.80314941e-005 
1.200000e-007,4.66250343e-005 
1.220000e-007,1.35176575e-004 
1.240000e-007,2.87823715e-005 
1.260000e-007,1.15141075e-004 
