sampling rate [Sa/s]: 200000000 
record length [Sa]: 800 
record duration [s]: 0.000004 
range [V]: 4.000000 
acquisition count: 1.000000 
FID per acquisition count: 1 
number of averages: 1 
DAQ elapsed time [s]: 0.082000 
Time,Ch1
0.000000e+000,6.86274529e-001 
5.000000e-009,3.90196085e-001 
1.000000e-008,2.21568629e-001 
1.500000e-008,1.09803922e-001 
2.000000e-008,2.94117648e-002 
2.500000e-008,-1.17647061e-002 
3.000000e-008,-4.90196086e-002 
3.500000e-008,-7.84313753e-002 
4.000000e-008,-1.23529412e-001 
4.500000e-008,-6.68627441e-001 
5.000000e-008,-1.02352941e+000 
5.500000e-008,-2.76470590e+000 
6.000000e-008,-1.67450976e+000 
6.500000e-008,-5.96078455e-001 
7.000000e-008,5.88235296e-002 
7.500000e-008,3.92156869e-001 
8.000000e-008,6.03921592e-001 
8.500000e-008,1.26862741e+000 
9.000000e-008,1.45686269e+000 
9.500000e-008,1.12549019e+000 
1.000000e-007,6.82352960e-001 
1.050000e-007,3.92156869e-001 
1.100000e-007,2.19607845e-001 
1.150000e-007,1.13725491e-001 
1.200000e-007,3.33333351e-002 
1.250000e-007,-2.54901964e-002 
1.300000e-007,-5.09803928e-002 
1.350000e-007,-7.64705911e-002 
1.400000e-007,-1.17647059e-001 
1.450000e-007,-6.60784304e-001 
1.500000e-007,-1.01960790e+000 
1.550000e-007,-2.76470590e+000 
1.600000e-007,-1.66274512e+000 
1.650000e-007,-6.03921592e-001 
1.700000e-007,5.88235296e-002 
1.750000e-007,3.90196085e-001 
1.800000e-007,5.98039210e-001 
1.850000e-007,1.26862741e+000 
1.900000e-007,1.44705880e+000 
1.950000e-007,1.13529408e+000 
2.000000e-007,6.76470578e-001 
2.050000e-007,3.82352948e-001 
2.100000e-007,2.29411766e-001 
2.150000e-007,1.05882354e-001 
2.200000e-007,3.33333351e-002 
2.250000e-007,-1.76470596e-002 
2.300000e-007,-4.31372561e-002 
2.350000e-007,-7.25490227e-002 
2.400000e-007,-1.15686275e-001 
2.450000e-007,-6.66666687e-001 
2.500000e-007,-1.01960790e+000 
2.550000e-007,-2.74705887e+000 
2.600000e-007,-1.66274512e+000 
2.650000e-007,-6.05882347e-001 
2.700000e-007,6.86274543e-002 
2.750000e-007,3.88235301e-001 
2.800000e-007,6.00000024e-001 
2.850000e-007,1.26862741e+000 
2.900000e-007,1.44901955e+000 
2.950000e-007,1.13333333e+000 
3.000000e-007,6.86274529e-001 
3.050000e-007,3.88235301e-001 
3.100000e-007,2.15686277e-001 
3.150000e-007,1.03921570e-001 
3.200000e-007,3.92156877e-002 
3.250000e-007,-1.56862754e-002 
3.300000e-007,-5.29411770e-002 
